time,source,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
47.2,processed,-80.00,-80.00,-80.00,-78.13,-56.40,-58.03,-59.86,-57.26,-60.61,-62.91,-64.36,-54.79,-64.47,-64.69,-57.49,-64.60,-61.05,-58.06,-66.83,-69.01,-77.94,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.3,ref,-80.00,-80.00,-80.00,-76.26,-62.56,-69.16,-59.66,-56.09,-68.10,-70.05,-65.49,-60.00,-63.44,-55.20,-54.72,-60.52,-56.36,-61.65,-61.70,-72.52,-70.47,-73.75,-78.22,-78.63,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.3,room,-80.00,-80.00,-80.00,-67.12,-56.34,-54.14,-53.58,-48.16,-59.73,-60.81,-60.16,-58.33,-64.23,-58.97,-54.62,-64.11,-56.23,-56.68,-61.69,-69.26,-71.45,-75.20,-79.13,-79.76,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.3,processed,-80.00,-80.00,-80.00,-76.51,-59.49,-57.91,-59.00,-53.89,-63.76,-67.53,-62.90,-58.13,-66.72,-61.83,-58.79,-65.94,-61.97,-60.44,-63.69,-69.76,-77.02,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.4,ref,-80.00,-80.00,-80.00,-78.50,-68.84,-65.65,-60.51,-54.69,-69.22,-71.45,-66.21,-63.09,-58.26,-54.26,-52.05,-59.81,-52.87,-54.32,-59.33,-70.02,-71.07,-73.48,-78.92,-79.82,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.4,room,-80.00,-80.00,-77.56,-71.32,-58.93,-53.84,-48.24,-48.18,-65.53,-63.50,-62.24,-58.39,-60.79,-57.72,-53.50,-61.78,-52.80,-51.66,-59.87,-64.39,-71.32,-74.63,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.4,processed,-80.00,-80.00,-80.00,-75.66,-65.09,-65.86,-53.14,-48.89,-64.96,-68.59,-64.53,-57.08,-64.48,-64.12,-59.74,-65.12,-61.28,-59.41,-66.12,-70.83,-77.46,-79.99,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.5,ref,-63.25,-58.98,-54.32,-52.32,-49.94,-49.08,-48.60,-46.60,-41.64,-42.29,-40.20,-41.33,-49.82,-53.85,-54.57,-58.72,-47.05,-51.29,-58.10,-57.64,-66.25,-70.90,-75.53,-77.70,-77.62,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.5,room,-71.08,-69.33,-63.78,-52.22,-46.91,-41.73,-40.47,-42.32,-33.88,-36.43,-41.77,-35.85,-46.15,-54.02,-53.88,-61.37,-49.97,-49.38,-57.64,-55.83,-66.98,-71.14,-78.98,-79.84,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.5,processed,-75.07,-69.19,-62.86,-58.23,-54.07,-54.42,-52.68,-52.67,-57.75,-51.75,-49.18,-52.09,-59.90,-63.00,-60.61,-62.94,-61.66,-59.87,-65.99,-68.36,-77.24,-79.96,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.6,ref,-50.60,-46.20,-42.83,-37.44,-28.56,-23.08,-27.05,-32.91,-38.96,-39.42,-43.33,-45.64,-52.02,-53.93,-51.80,-60.74,-55.00,-56.85,-65.49,-66.21,-71.60,-73.07,-76.23,-78.84,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
47.6,room,-50.04,-49.83,-51.40,-64.61,-29.89,-22.47,-25.84,-27.57,-37.81,-45.16,-45.71,-46.54,-48.42,-56.38,-53.05,-59.83,-55.36,-54.35,-65.35,-63.51,-72.35,-75.80,-79.31,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00
