time,ref,room,processed
47.011769,0.007446,-0.107086,-0.023589
47.011791,-0.000336,-0.089630,-0.020025
47.011814,-0.007111,-0.069794,-0.014354
47.011837,-0.010376,-0.048553,-0.007867
47.011859,-0.012421,-0.026184,-0.001891
47.011882,-0.016388,-0.001526,0.004406
47.011905,-0.020294,0.022827,0.011164
47.011927,-0.023102,0.042908,0.016850
47.011950,-0.026825,0.058319,0.020882
47.011973,-0.032623,0.071167,0.024375
47.011995,-0.039001,0.083801,0.028227
47.012018,-0.044952,0.096405,0.032989
47.012041,-0.051025,0.108490,0.037476
47.012063,-0.056335,0.117493,0.039962
47.012086,-0.057159,0.123901,0.041017
47.012109,-0.056000,0.127930,0.042511
47.012132,-0.055084,0.129730,0.043011
47.012154,-0.052490,0.129395,0.042887
47.012177,-0.047882,0.127838,0.043501
47.012200,-0.043549,0.123993,0.044211
47.012222,-0.039154,0.118286,0.044986
47.012245,-0.035034,0.111237,0.047511
47.012268,-0.029419,0.104614,0.050984
47.012290,-0.021057,0.098602,0.053744
47.012313,-0.012604,0.093384,0.053810
47.012336,-0.007477,0.085419,0.051621
47.012358,-0.002655,0.071777,0.049072
47.012381,0.002563,0.055176,0.047990
47.012404,0.006744,0.038147,0.047708
47.012426,0.008636,0.021484,0.047992
47.012449,0.009491,0.004578,0.048535
47.012472,0.009125,-0.013702,0.049088
47.012494,0.008942,-0.030518,0.047318
47.012517,0.008118,-0.039948,0.043517
47.012540,0.006836,-0.044037,0.039801
47.012562,0.004211,-0.048889,0.037959
47.012585,0.000305,-0.055573,0.037419
47.012608,-0.002228,-0.061188,0.037249
47.012630,-0.000854,-0.062408,0.036238
47.012653,0.002930,-0.058746,0.034295
47.012676,0.006866,-0.056519,0.031824
47.012698,0.010956,-0.057739,0.028280
47.012721,0.015625,-0.057831,0.024255
47.012744,0.021484,-0.053802,0.021153
47.012766,0.027954,-0.046875,0.018714
47.012789,0.034058,-0.038940,0.015763
47.012812,0.039398,-0.032135,0.012720
47.012834,0.043030,-0.026001,0.010978
47.012857,0.043457,-0.018768,0.011320
47.012880,0.040955,-0.011566,0.012545
47.012902,0.035492,-0.005768,0.013378
47.012925,0.028320,0.001221,0.014013
47.012948,0.019348,0.008514,0.015953
47.012971,0.008392,0.015015,0.017439
47.012993,-0.002930,0.020233,0.016950
47.013016,-0.014160,0.023804,0.017580
47.013039,-0.023193,0.025848,0.021316
47.013061,-0.029755,0.027496,0.027497
47.013084,-0.036377,0.028748,0.033760
47.013107,-0.045044,0.028564,0.038555
47.013129,-0.052307,0.028107,0.041562
47.013152,-0.054993,0.027069,0.043979
47.013175,-0.057159,0.026154,0.047720
47.013197,-0.060577,0.027710,0.051768
47.013220,-0.063110,0.031250,0.056240
47.013243,-0.065369,0.034149,0.062014
47.013265,-0.067596,0.034241,0.067206
47.013288,-0.066986,0.031067,0.071392
47.013311,-0.063385,0.025177,0.076581
47.013333,-0.059143,0.018585,0.082196
47.013356,-0.054382,0.011383,0.086631
47.013379,-0.049866,0.003723,0.090294
47.013401,-0.046265,-0.004608,0.092466
47.013424,-0.042236,-0.013641,0.092562
47.013447,-0.038391,-0.023804,0.092270
47.013469,-0.035675,-0.033051,0.092247
47.013492,-0.033020,-0.039246,0.091943
47.013515,-0.029297,-0.043365,0.090305
47.013537,-0.026062,-0.048584,0.087031
47.013560,-0.024200,-0.056000,0.083248
47.013583,-0.021423,-0.065430,0.079356
47.013605,-0.016479,-0.074127,0.074306
47.013628,-0.009125,-0.081238,0.067797
47.013651,-0.001129,-0.088837,0.062073
47.013673,0.006409,-0.096924,0.057138
47.013696,0.013763,-0.102600,0.051324
47.013719,0.019684,-0.105774,0.044605
47.013741,0.023560,-0.107666,0.037829
47.013764,0.025055,-0.109283,0.033307
47.013787,0.022308,-0.112366,0.031337
47.013810,0.016083,-0.114044,0.028445
47.013832,0.011169,-0.112274,0.024035
47.013855,0.009918,-0.107483,0.020496
47.013878,0.009216,-0.101746,0.018040
47.013900,0.006378,-0.095154,0.015135
47.013923,0.003174,-0.089722,0.010964
47.013946,0.002960,-0.084656,0.006587
47.013968,0.006500,-0.078033,0.004599
47.013991,0.010254,-0.068665,0.005705
47.014014,0.012329,-0.055481,0.006968
47.014036,0.013275,-0.039032,0.007814
47.014059,0.013092,-0.022552,0.008941
47.014082,0.010956,-0.005615,0.008870
47.014104,0.008698,0.013062,0.006140
47.014127,0.007782,0.031830,0.001375
47.014150,0.007385,0.048035,-0.004816
47.014172,0.006531,0.060791,-0.011496
47.014195,0.006866,0.072327,-0.017551
47.014218,0.008270,0.086304,-0.022285
47.014240,0.007935,0.102722,-0.025923
47.014263,0.005585,0.117645,-0.029631
47.014286,0.004822,0.130920,-0.034464
47.014308,0.006805,0.144623,-0.039504
47.014331,0.009735,0.158417,-0.043304
47.014354,0.011017,0.168854,-0.046516
47.014376,0.008484,0.173553,-0.051147
47.014399,0.003113,0.173279,-0.057395
47.014422,0.000793,0.170654,-0.064082
47.014444,0.001617,0.164825,-0.069257
47.014467,0.003845,0.154907,-0.073318
47.014490,0.006165,0.142059,-0.076369
47.014512,0.008484,0.130127,-0.078174
47.014535,0.009460,0.120422,-0.077576
47.014558,0.011780,0.111938,-0.076633
47.014580,0.013855,0.101135,-0.076092
47.014603,0.013611,0.087891,-0.074661
47.014626,0.010620,0.073944,-0.071503
47.014649,0.005493,0.061218,-0.068328
47.014671,-0.000061,0.049377,-0.066475
47.014694,-0.003265,0.038269,-0.065414
47.014717,-0.002258,0.028564,-0.063828
47.014739,0.005035,0.022766,-0.061816
